date,close_price
04-APR-2025,22904.45
07-APR-2025,22161.6
08-APR-2025,22535.85
09-APR-2025,22399.15
11-APR-2025,22828.55
15-APR-2025,23328.55
16-APR-2025,23437.2
17-APR-2025,23851.65
21-APR-2025,24125.55
22-APR-2025,24167.25
23-APR-2025,24328.95
24-APR-2025,24246.7
25-APR-2025,24039.35
28-APR-2025,24328.5
29-APR-2025,24335.95
30-APR-2025,24334.2
02-MAY-2025,24346.7
05-MAY-2025,24461.15
06-MAY-2025,24379.6
07-MAY-2025,24414.4
08-MAY-2025,24273.8
09-MAY-2025,24008
12-MAY-2025,24924.7
13-MAY-2025,24578.35
14-MAY-2025,24666.9
15-MAY-2025,25062.1
16-MAY-2025,25019.8
19-MAY-2025,24945.45
20-MAY-2025,24683.9
21-MAY-2025,24813.45
22-MAY-2025,24609.7
23-MAY-2025,24853.15
26-MAY-2025,25001.15
27-MAY-2025,24826.2
28-MAY-2025,24752.45
29-MAY-2025,24833.6
30-MAY-2025,24750.7
02-JUN-2025,24716.6
03-JUN-2025,24542.5
04-JUN-2025,24620.2
05-JUN-2025,24750.9
06-JUN-2025,25003.05
09-JUN-2025,25103.2
10-JUN-2025,25104.25
11-JUN-2025,25141.4
12-JUN-2025,24888.2
13-JUN-2025,24718.6
16-JUN-2025,24946.5
17-JUN-2025,24853.4
18-JUN-2025,24812.05
19-JUN-2025,24793.25
20-JUN-2025,25112.4
23-JUN-2025,24971.9
24-JUN-2025,25044.35
25-JUN-2025,25244.75
26-JUN-2025,25549
27-JUN-2025,25637.8
30-JUN-2025,25517.05
01-JUL-2025,25541.8
02-JUL-2025,25453.4
03-JUL-2025,25405.3
04-JUL-2025,25461
07-JUL-2025,25461.3
08-JUL-2025,25522.5
09-JUL-2025,25476.1
10-JUL-2025,25355.25
11-JUL-2025,25149.85
14-JUL-2025,25082.3
15-JUL-2025,25195.8
16-JUL-2025,25212.05
17-JUL-2025,25111.45
18-JUL-2025,24968.4
21-JUL-2025,25090.7
22-JUL-2025,25060.9
23-JUL-2025,25219.9
24-JUL-2025,25062.1
25-JUL-2025,24837
28-JUL-2025,24680.9
29-JUL-2025,24821.1
30-JUL-2025,24855.05
31-JUL-2025,24768.35
01-AUG-2025,24565.35
04-AUG-2025,24722.75
05-AUG-2025,24649.55
06-AUG-2025,24574.2
07-AUG-2025,24596.15
08-AUG-2025,24363.3
11-AUG-2025,24585.05
12-AUG-2025,24487.4
13-AUG-2025,24619.35
14-AUG-2025,24631.3
18-AUG-2025,24876.95
19-AUG-2025,24980.65
20-AUG-2025,25050.55
21-AUG-2025,25083.75
22-AUG-2025,24870.1
25-AUG-2025,24967.75
26-AUG-2025,24712.05
28-AUG-2025,24500.9
29-AUG-2025,24426.85
01-SEP-2025,24625.05
02-SEP-2025,24579.6
03-SEP-2025,24715.05
04-SEP-2025,24734.3
05-SEP-2025,24741
08-SEP-2025,24773.15
09-SEP-2025,24868.6
10-SEP-2025,24973.1
11-SEP-2025,25005.5
12-SEP-2025,25114
15-SEP-2025,25069.2
16-SEP-2025,25239.1
17-SEP-2025,25330.25
18-SEP-2025,25423.6
19-SEP-2025,25327.05
22-SEP-2025,25202.35
23-SEP-2025,25169.5
24-SEP-2025,25056.9
25-SEP-2025,24890.85
26-SEP-2025,24654.7
29-SEP-2025,24634.9
30-SEP-2025,24611.1
01-OCT-2025,24836.3
03-OCT-2025,24894.25
06-OCT-2025,25077.65
07-OCT-2025,25108.3
08-OCT-2025,25046.15
09-OCT-2025,25181.8
10-OCT-2025,25285.35
13-OCT-2025,25227.35
14-OCT-2025,25145.5
15-OCT-2025,25323.55
16-OCT-2025,25585.3
17-OCT-2025,25709.85
20-OCT-2025,25843.15
21-OCT-2025,25868.6
23-OCT-2025,25891.4
24-OCT-2025,25795.15
27-OCT-2025,25966.05
28-OCT-2025,25936.2
29-OCT-2025,26053.9
30-OCT-2025,25877.85
31-OCT-2025,25722.1
03-NOV-2025,25763.35
04-NOV-2025,25597.65
06-NOV-2025,25509.7
07-NOV-2025,25492.3
10-NOV-2025,25574.35
11-NOV-2025,25694.95
12-NOV-2025,25875.8
13-NOV-2025,25879.15
14-NOV-2025,25910.05
17-NOV-2025,26013.45
18-NOV-2025,25910.05
19-NOV-2025,26052.65
20-NOV-2025,26192.15
